SpeciesName,Genus,Family,Order,Authority,Year,TaxonomicReview,N_authors,N.Countries,Log10BodyMass_g,SppRichPerGenus,Morphometrics,Osteology,Dentition,InternalAnatomy,ShapeDescription,Trichology,Coloration,Karyotype,Molecular,MolMethod,N.Genes,N.Specimens,TaxaComparedExamined,TaxaCompared,N.Pages,N_evidencesI,N_evidencesII
Akodon diauarum,Akodon,Cricetidae,Rodentia,"Brandão, Carmignotto, Percequillo, Christoff, Mendes-Oliveira, & Geise, 2022",2022,0,6,1,1.5854607295085,41,4,20,1,0,1,0,1,1,0,,0,217,5,6,21.5,28,6
Alticola kohistanicus,Alticola,Cricetidae,Rodentia,KryÅ¡tufek & Shenbrot,2022,0,2,2,1.38021124171161,13,4,4,1,0,1,0,1,0,1,mtDNA,1,1,,5,,12,6
Baletemys kampalili,Baletemys,Muridae,Rodentia,"Rowsey, M. R. M. Duya, IbaÃ±ez, Jansa, Rickart, & Heaney",2022,0,6,2,,0,4,18,1,0,1,0,1,0,1,MultiLoci,7,3,6,10,11.65,32,6
Cacajao amuna,Cacajao,Pitheciidae,Primates,"F. E. Silva, do Amaral, Roos, Bowler, Röhe, Sampaio, Janiak, Bertuol, Santana, J. S. Silva, Rylands, Gubili, Hrbek, McDevitt, & Boubli, 2022",2022,0,15,7,,7,0,0,0,0,0,0,1,0,1,SNPs,1,11,4,4,2.15,2,2
Cheracebus aquinoi,Cheracebus,Pitheciidae,Primates,"Rengifo, D’Elía, G. García, Charpentier, & Cornejo, 2022",2022,0,5,4,,5,0,17,1,0,0,0,1,0,1,mtDNA,1,6,5,5,9.25,20,4
Chilomys carapazi,Chilomys,Cricetidae,Rodentia,"Brito & Pardiñas, 2022",2022,0,2,2,,6,4,21,1,0,0,0,1,0,0,,0,1,6,6,7.4,27,4
Chilomys georgeledecii,Chilomys,Cricetidae,Rodentia,"Brito, Tinoco, R. García, C. Koch, & Pardiñas, 2022",2022,0,5,3,1.26717172840301,6,4,21,1,1,0,0,1,0,1,mtDNA,1,47,6,6,7.4,29,6
Chilomys neisi,Chilomys,Cricetidae,Rodentia,"Brito, Tinoco, R. García, C. Koch, & Pardiñas, 2022",2022,0,5,3,1.20411998265592,6,4,21,1,1,0,0,1,0,1,mtDNA,2,3,6,6,7.4,30,6
Chilomys percequilloi,Chilomys,Cricetidae,Rodentia,"Brito, Tinoco, R. García, & Pardiñas, 2022",2022,0,4,2,1.36172783601759,6,4,21,1,1,0,0,1,0,1,mtDNA,2,26,6,6,7.4,30,6
Chilomys weksleri,Chilomys,Cricetidae,Rodentia,"Brito, R. García, C. M. Pinto, & Pardiñas, 2022",2022,0,4,2,,6,4,21,1,1,0,0,1,0,1,mtDNA,2,13,6,6,7.4,30,6
Chionomys stekolnikovi,Chionomys,Cricetidae,Rodentia,"Golenishchev, Malikov, Bannikova, Zykov, YiÄŸit, & E. Ã‡olak",2022,0,6,2,,4,0,12,1,0,1,0,1,0,1,MultiLoci,3,2,7,4,7.05,18,5
Chodsigoa dabieshanensis,Chodsigoa,Soricidae,Eulipotyphla,"Chen, Hu, Pei, Yang, Yong, Xu, Qu, Onditi, & Zhang, 2022",2022,0,9,1,,9,4,19,1,0,0,0,1,0,1,MultiLoci,3,11,8,10,11,28,5
Ctenomys heniacamiare,Ctenomys,Ctenomyidae,Rodentia,"Mapelli, Teta, F. Contreras, Pereyra, Priotto, & Coda",2022,0,6,1,2.14612803567824,67,3,15,1,0,1,0,1,0,1,mtDNA,1,11,8,5,10.3,22,6
Eospalax muliensis,Eospalax,Spalacidae,Rodentia,"Zhang Tao, Chen Zhongzheng, & Shi Peng in Zhang Tao, Lei Menglong, Zhou Hao, Chen Zhongzheng, & Shi Peng",2022,0,3,1,2.12385164096709,6,3,21,1,0,1,0,1,0,1,SNPs,0,8,6,5,6.1,27,6
